,Unnamed: 0,cluster_name,time,value
0,0,default,2019-03-13T15:45:00Z,830019327
1,1,default,2019-03-13T15:45:00Z,565640174197
2,2,default,2019-03-13T15:45:00Z,581762232
3,3,default,2019-03-13T15:45:00Z,66328088
4,4,default,2019-03-13T15:45:00Z,8124329277
5,5,default,2019-03-13T15:45:00Z,2109160134
6,6,default,2019-03-13T15:45:00Z,121480147
7,7,default,2019-03-13T15:45:00Z,31471230716
8,8,default,2019-03-13T15:45:00Z,45190358684
9,9,default,2019-03-13T15:45:00Z,248363193788
10,10,default,2019-03-13T15:45:00Z,445101662
11,11,default,2019-03-13T15:45:00Z,234649366
12,12,default,2019-03-13T15:45:00Z,49525818375
13,13,default,2019-03-13T15:45:00Z,34931036576
14,14,default,2019-03-13T15:45:00Z,211054739422
15,15,default,2019-03-13T15:45:00Z,315650825
16,16,default,2019-03-13T15:45:00Z,67531322919
17,17,default,2019-03-13T15:45:00Z,480814766
18,18,default,2019-03-13T15:45:00Z,2293018122
19,19,default,2019-03-13T15:45:00Z,414424881
20,20,default,2019-03-13T15:46:00Z,2341508583
21,21,default,2019-03-13T15:46:00Z,463015328
22,22,default,2019-03-13T15:46:00Z,36077092936
23,23,default,2019-03-13T15:46:00Z,598467021
24,24,default,2019-03-13T15:46:00Z,903240433
25,25,default,2019-03-13T15:46:00Z,592005569060
26,26,default,2019-03-13T15:46:00Z,774888697
27,27,default,2019-03-13T15:46:00Z,282871187
28,28,default,2019-03-13T15:46:00Z,2478241288
29,29,default,2019-03-13T15:46:00Z,9661336308
30,30,default,2019-03-13T15:46:00Z,606022097
31,31,default,2019-03-13T15:46:00Z,49643550720
32,32,default,2019-03-13T15:46:00Z,497635257
33,33,default,2019-03-13T15:46:00Z,49099527104
34,34,default,2019-03-13T15:46:00Z,265660930642
35,35,default,2019-03-13T15:46:00Z,302747879
36,36,default,2019-03-13T15:46:00Z,69810263047
37,37,default,2019-03-13T15:46:00Z,40085056819
38,38,default,2019-03-13T15:46:00Z,450819606
39,39,default,2019-03-13T15:46:00Z,215253448279
40,40,default,2019-03-13T15:47:00Z,628921998
41,41,default,2019-03-13T15:47:00Z,220935026378
42,42,default,2019-03-13T15:47:00Z,446081566
43,43,default,2019-03-13T15:47:00Z,42499293662
44,44,default,2019-03-13T15:47:00Z,2375443411
45,45,default,2019-03-13T15:47:00Z,487887476
46,46,default,2019-03-13T15:47:00Z,1671977693
47,47,default,2019-03-13T15:47:00Z,619519767
48,48,default,2019-03-13T15:47:00Z,621420330847
49,49,default,2019-03-13T15:47:00Z,1005943215
50,50,default,2019-03-13T15:47:00Z,45805358309
51,51,default,2019-03-13T15:47:00Z,521560456
52,52,default,2019-03-13T15:47:00Z,746275469
53,53,default,2019-03-13T15:47:00Z,2824429103
54,54,default,2019-03-13T15:47:00Z,11099245029
55,55,default,2019-03-13T15:47:00Z,51470976914
56,56,default,2019-03-13T15:47:00Z,72272118520
57,57,default,2019-03-13T15:47:00Z,53997905136
58,58,default,2019-03-13T15:47:00Z,344377908
59,59,default,2019-03-13T15:47:00Z,284887524948
60,60,default,2019-03-13T15:48:00Z,414011918
61,61,default,2019-03-13T15:48:00Z,303198010851
62,62,default,2019-03-13T15:48:00Z,632629185
63,63,default,2019-03-13T15:48:00Z,638032248
64,64,default,2019-03-13T15:48:00Z,809091335
65,65,default,2019-03-13T15:48:00Z,225399156290
66,66,default,2019-03-13T15:48:00Z,1730500751
67,67,default,2019-03-13T15:48:00Z,47974751251
68,68,default,2019-03-13T15:48:00Z,529088901
69,69,default,2019-03-13T15:48:00Z,2386047334
70,70,default,2019-03-13T15:48:00Z,58118907834
71,71,default,2019-03-13T15:48:00Z,820613919
72,72,default,2019-03-13T15:48:00Z,50158852275
73,73,default,2019-03-13T15:48:00Z,650806322984
74,74,default,2019-03-13T15:48:00Z,1085248928
75,75,default,2019-03-13T15:48:00Z,546069952
76,76,default,2019-03-13T15:48:00Z,75236813840
77,77,default,2019-03-13T15:48:00Z,3080789300
78,78,default,2019-03-13T15:48:00Z,54226833964
79,79,default,2019-03-13T15:48:00Z,12541563937
80,80,default,2019-03-13T15:49:00Z,57349107178
81,81,default,2019-03-13T15:49:00Z,14098799043
82,82,default,2019-03-13T15:49:00Z,53952362109
83,83,default,2019-03-13T15:49:00Z,652663408
84,84,default,2019-03-13T15:49:00Z,451890181
85,85,default,2019-03-13T15:49:00Z,319431757592
86,86,default,2019-03-13T15:49:00Z,2091320057
87,87,default,2019-03-13T15:49:00Z,955298126
88,88,default,2019-03-13T15:49:00Z,228710971536
89,89,default,2019-03-13T15:49:00Z,994766207
90,90,default,2019-03-13T15:49:00Z,3392528115
91,91,default,2019-03-13T15:49:00Z,54550580734
92,92,default,2019-03-13T15:49:00Z,62767470187
93,93,default,2019-03-13T15:49:00Z,546704051
94,94,default,2019-03-13T15:49:00Z,2417101333
95,95,default,2019-03-13T15:49:00Z,893343979
96,96,default,2019-03-13T15:49:00Z,77138798787
97,97,default,2019-03-13T15:49:00Z,675827266674
98,98,default,2019-03-13T15:49:00Z,593168606
99,99,default,2019-03-13T15:49:00Z,1159996731
100,100,default,2019-03-13T15:50:00Z,619489087
101,101,default,2019-03-13T15:50:00Z,1225124264
102,102,default,2019-03-13T15:50:00Z,1073398080
103,103,default,2019-03-13T15:50:00Z,59257226218
104,104,default,2019-03-13T15:50:00Z,58279505729
105,105,default,2019-03-13T15:50:00Z,15461666281
106,106,default,2019-03-13T15:50:00Z,2146386920
107,107,default,2019-03-13T15:50:00Z,663714699
108,108,default,2019-03-13T15:50:00Z,336192789893
109,109,default,2019-03-13T15:50:00Z,497731121
110,110,default,2019-03-13T15:50:00Z,701335138137
111,111,default,2019-03-13T15:50:00Z,67005556972
112,112,default,2019-03-13T15:50:00Z,3746448523
113,113,default,2019-03-13T15:50:00Z,233718098181
114,114,default,2019-03-13T15:50:00Z,1175809166
115,115,default,2019-03-13T15:50:00Z,59102996854
116,116,default,2019-03-13T15:50:00Z,79634233071
117,117,default,2019-03-13T15:50:00Z,598569881
118,118,default,2019-03-13T15:50:00Z,981885228
119,119,default,2019-03-13T15:50:00Z,2433730451
120,120,default,2019-03-13T15:51:00Z,1083181449
121,121,default,2019-03-13T15:51:00Z,2497295743
122,122,default,2019-03-13T15:51:00Z,694758267
123,123,default,2019-03-13T15:51:00Z,3004267482
124,124,default,2019-03-13T15:51:00Z,670858685
125,125,default,2019-03-13T15:51:00Z,1290400509
126,126,default,2019-03-13T15:51:00Z,2666234495
127,127,default,2019-03-13T15:51:00Z,64522424209
128,128,default,2019-03-13T15:51:00Z,16909458056
129,129,default,2019-03-13T15:51:00Z,60301030438
130,130,default,2019-03-13T15:51:00Z,620876366
131,131,default,2019-03-13T15:51:00Z,4084427937
132,132,default,2019-03-13T15:51:00Z,728482010171
133,133,default,2019-03-13T15:51:00Z,354111788557
134,134,default,2019-03-13T15:51:00Z,541230959
135,135,default,2019-03-13T15:51:00Z,70751795051
136,136,default,2019-03-13T15:51:00Z,81978356184
137,137,default,2019-03-13T15:51:00Z,238058497584
138,138,default,2019-03-13T15:51:00Z,63228567972
139,139,default,2019-03-13T15:51:00Z,1293981997
140,140,default,2019-03-13T15:52:00Z,68320833111
141,141,default,2019-03-13T15:52:00Z,1451830975
142,142,default,2019-03-13T15:52:00Z,70312979792
143,143,default,2019-03-13T15:52:00Z,723901203
144,144,default,2019-03-13T15:52:00Z,1233320052
145,145,default,2019-03-13T15:52:00Z,2533901674
146,146,default,2019-03-13T15:52:00Z,3045107687
147,147,default,2019-03-13T15:52:00Z,3719675153
148,148,default,2019-03-13T15:52:00Z,1370329735
149,149,default,2019-03-13T15:52:00Z,705697935
150,150,default,2019-03-13T15:52:00Z,242170175802
151,151,default,2019-03-13T15:52:00Z,754463731564
152,152,default,2019-03-13T15:52:00Z,653802568
153,153,default,2019-03-13T15:52:00Z,18245912262
154,154,default,2019-03-13T15:52:00Z,60524788474
155,155,default,2019-03-13T15:52:00Z,4523348520
